title,description,genres,meta_score,user_score,developer,platform,release_date,rating
3D CHECKERS FOR PLAYSTATION MOBILE,"If you like games of strategy, you'll enjoy playing Checkers on your TV. Have fun playing against a friend or family member, or you can play against the computer at one of 3 difficulty levels.

- Save snapshots of your game so you can load and play from that point again in the future.
- Edit the pieces in each position of the board to customize how they are laid out before playing.
- View the move history in standard Checkers notation.
- Compare high scores between yourself and your friends.
- You can even watch as the computer plays itself.","Genre(s): Miscellaneous, Board / Card Game",N/A,tbd,"TTS Software, LLC",PlayStation Vita,"Apr 21, 2015",N/A
3D GEMS,"3D gems is a match 3 game with a beautiful 3D graphics and unique gameplay, which varies from level to level throughout the game.

Gain your experience, improve your skills, discover new game levels and have fun. Each level is significantly different from the previous one, bringing in the gameplay something new and original. Destructible obstacles will try to prevent and slow down you. Mobile zone controlled by you and automatic ones change the classic gameplay of this genre. Four skills which can be improved, will help you to play and to win.","Genre(s): Miscellaneous, Puzzle, General, Matching",N/A,tbd,Z-D,PlayStation Vita,"Jul 15, 2014",N/A
3D REVERSI FOR PLAYSTATION MOBILE,N/A,"Genre(s): Miscellaneous, Board Games, Board / Card Game",N/A,tbd,"TTS Software, LLC",PlayStation Vita,"Dec 16, 2014",N/A
3D ZOMBIE SURVIVAL,N/A,"Genre(s): Action Adventure, Survival",N/A,tbd,toshinori tamashihiro,PlayStation Vita,"Mar 10, 2015",N/A
4FUN,N/A,"Genre(s): Puzzle, Logic",N/A,tbd,Cafe Game Studio,PlayStation Vita,"Jun 9, 2015",N/A
4PHOTOTWEET,N/A,"Genre(s): Miscellaneous, Application",N/A,tbd,Matsudamper,PlayStation Vita,"Apr 21, 2015",N/A
7'SCARLET,The remote city of Okunezato is shaped like a crescent moon and shrouded in dark myths and legends. Assume the role of a brave young woman journeying into the unknown to uncover dangerous truths and locate her missing brother with her childhood friend.,"Genre(s): Adventure, Visual Novel",N/A,8.0,Otomate,PlayStation Vita,"May 25, 2018",T
99VIDAS,"99Vidas is a brawler set in a contemporary world that pays tribute to both classic and new games in the industry. Brought to you in 16-bit pixelated glory, chock-full of references to not only gaming but also 80’s and 90’s pop culture.","Genre(s): Action, Beat-'Em-Up, 2D",N/A,6.9,QUByte Interactive,PlayStation Vita,"Jul 18, 2017",T
A BAD OPERA-TUNITY,N/A,"Genre(s): Action, General",N/A,tbd,Imperative Games,PlayStation Vita,"May 13, 2014",N/A
A BOY AND HIS BLOB,"Marking the 20th anniversary of this NES classic, a boy and his blob is a rebirth of this fan favorite title that expands upon the original platform adventure. This Wii exclusive is a heartwarming story of friendship that challenges players to work together with their new blob friend to solve puzzles, defeat monsters and escape danger on Earth and Blobolonia. By feeding the blob jelly beans, players can activate his special abilities to transform him into helpful tools - including a ladder, trampoline, parachute, cannon, shield and many more. Every different blob form aids the boy as he navigates 40 side-scrolling levels filled with hidden treasures and unlockable bonus content.","Genre(s): Action, Platformer, 2D",N/A,7.8,Abstraction Games,PlayStation Vita,"Jan 21, 2016",E
A HEALER ONLY LIVES TWICE,"Monsters have cornered you in the dungeon corridors. As a newly hired Priest, your duties are to use your magical abilities to
heal your comrade, a Knight on the front-line, and provide support during battle.

Will these two brave souls live to see the light of day again?

This is a command-select strategy game. Quickly choose the skill you need in order to revive your ally's HP, raise the effectiveness of their abilities, and dictate the flow of battle in real time.","Genre(s): Role-Playing, Strategy, Real-Time, Japanese-Style, Tactics",N/A,tbd,Satoshi Hamano,PlayStation Vita,"Mar 24, 2015",N/A
A HOLE NEW WORLD,"Enter at your own risk! If you think the World's dangers are scary, wait'll you see the Underworld ones.

You're in for the longest journey of your life. Ghosts, Zombies, Demons, Wolves, Bat - creatures lurking around every corner. As you advance deeper and deeper, they get thicker and thicker.

Better fight hard to recover the Goddess' Orbs from the Evil Generals' clutches - it's your only chance of finding a weapon or two. You're gonna need'em.

Because when you finally meet Lord Baduk, you know he'll be going for your neck. So keep your courage up and your Potions ready. And listen to Fay.","Genre(s): Action, Platformer, 2D",N/A,tbd,MadGearGames,PlayStation Vita,"Oct 3, 2019",E
A ROSE IN THE TWILIGHT,"A girl awakens in a castle void of color and time, affixed with the Curse of Thorns upon her back. After meeting a sleeping giant, the two work together to escape. Help them unravel the mystery of the thorns and the history behind the somber castle.","Genre(s): Action, Platformer, 2D",75,7.9,Nippon Ichi Software,PlayStation Vita,"Apr 11, 2017",N/A
A VIRUS NAMED TOM,"An Action-puzzler. The puzzle comes from rearrange circuits to spread the virus. The Action comes from dodging anti-virus drones while doing it. It's one of the few puzzle games out there where you can play co-operatively (with up to 3 friends). But if you tire of working together, there is a battle mode where you can take on your friends to see who is the supreme virus.","Genre(s): Puzzle, Action",N/A,3.5,Misfits Attic,PlayStation Vita,"Apr 5, 2016",N/A
A WINTER'S DAYDREAM,"Nineteen-year-old Yuu can't stand his younger sister, Otoko, and the feeling is mutual. It's been almost a year since Yuu saw her last, having escaped his dreary home town to study in the bustling city, but with the advent of New Year's he finds himself obliged to return to his family to celebrate.

Unfortunately, Yuu's absence has not softened his younger sister, and Otoko is just as sullen and surly as ever before. Finding the atmosphere at home unbearable, Yuu decides to escape once more -- not to the city this time, but to his grandmother's snowy, secluded village.

The reunion between grandson and grandmother starts normally at first until one moonlit night, when the pair witness a star streaking through the sky. The following morning, Yuu enters the kitchen, still half-asleep, to discover...

""Who are you? What are you doing in my grandmother's house?""
...that his grandmother has transformed into a cute young girl!

What is the reason behind his grandmother's drastic change? Will Yuu be able to restore her to her original self? And why is she so adorable?!","Genre(s): Action, Adventure, General, Visual Novel",N/A,tbd,ebi-hime,PlayStation Vita,"Oct 8, 2019",E
A-MEN,"A-Men, the military strategy title for PlayStation 3 system, unfolds at A-Cor, the world's biggest producer of the robot soldiers, where a massive explosion at the factory has accidentally released hundreds of lethal A-Droids. Get rid of them before they cause chaos around the globe.Embark on a journey through a series of vividly different worlds, featuring multiple challenges with many ways to pass a level and resolve puzzles. Then revisit each level to improve your score and refine your strategy skills. A-Men is highly tactical and completely addictive, immediately easy to play and yet like many truly classic games it is hard to master and even more difficult to master with style - especially when you get beyond the middle levels. A-Men is Cross Play compatible with PlayStation Vita system.","Genre(s): Action, General, General",N/A,tbd,Bloober Team,PlayStation Vita,"Aug 13, 2013",E10+
A-MEN 2,"Prepare yourself for another journey through series of new worlds, featuring multiple challenges with many ways to pass a level and resolve puzzles. A-MEN 2 allows you to hang out with your good, old friends once more. Atom, Antler, Anaconda, Aurelius and Aardvark are ready and waiting to destroy hordes of A-Droids again. So don't let them wait. A-MEN 2 is bringing you four brand new worlds full of enemies, traps and puzzles. Also our brave soldiers got some new skills. You're not convinced? You said that A-MEN part one was so easy? Try us! A-MEN 2 promises to give you more challenges than you expect.","Genre(s): General, Action, General",58,6.8,Bloober Team,PlayStation Vita,"Nov 5, 2013",N/A
A.W. PHOENIX FIESTA [DUPE],"Live the Events of the Asterisk War. In this action RPG, experience the events of The Asterisk War series. Assume the role of hero Ayato Amagiri and go through Rikka Academy and the Phoenix Festa storyline. Players trip simulated high school experiences while fighting in over-the-top tournaments.","Genre(s): Action, General",N/A,tbd,Bandai Namco Games,PlayStation Vita,"Jun 26, 2016",N/A
A.W.: PHOENIX FESTA,"Live the Events of the Asterisk War. In this action RPG, experience the events of The Asterisk War series. Assume the role of hero Ayato Amagiri and go through Rikka Academy and the Phoenix Festa storyline. Players trip simulated high school experiences while fighting in over-the-top tournaments.","Genre(s): Role-Playing, Action RPG",55,4.2,Bandai Namco Games,PlayStation Vita,"Jul 26, 2016",N/A
AABS ANIMALS,"Different to normal games, 'Aabs Animals' is an animal entertainment content that does not have any achievement targets for players.

-To love animals
-To have the animals close to you and use them as a digital photo frame
-etc...
Have fun with the animals the way you like.

'Aabs Animals' is also released on PlayStationVita system.

'Aabs Inc.' donates a few percentage of its sales to public organizations for animal protect etc..
About the donated organization and amount of donation, visit the official website below.
http://www.aabs.co.jp","Genre(s): Simulation, Miscellaneous, General, General, Virtual, Pet",N/A,4.6,Aabs,PlayStation Vita,"Jul 9, 2013",N/A
ABOUT TURN,N/A,"Genre(s): Puzzle, Logic",N/A,tbd,Chair Warming Facility,PlayStation Vita,"Apr 21, 2015",N/A
ACCEL WORLD VS. SWORD ART ONLINE: MILLENNIUM TWILIGHT,"Svart Alfheim and the Accelerated World have begun to merge. In the midst of the chaos, Yui has gone missing. Kirito must challenge the Seven Kings of pure color from the Accelerated World to gain access to her location.

RECRUIT YOUR FAVOURITE CHARACTERS among a large roster from the anime and novel series.

TAKE THE SKIES using your flying abilities, deploy magic and sword skills to perform outstanding aerial strikes!

DEFY GRAVITY with hyper jumping skill, accelerate your movement before giving a Coup de Grace!

UNITE FOR THE FIGHT in fierce online multiplayer featuring multiple modes supporting up to 4 players.

This version of the game includes the DLC ""Castaway From Another World"".","Genre(s): Role-Playing, Action RPG",N/A,8.5,Bandai Namco Games,PlayStation Vita,"Jul 7, 2017",T
ACCESS DENIED,"Access Denied is a puzzle game in which personal data is locked away in protected boxes. Calling all safe-crackers and puzzle game lovers! From rotating dials, inputting numbers and other commands, your work is cut out for you.","Genre(s): Puzzle, General",N/A,tbd,Stately Snail,PlayStation Vita,"Feb 5, 2019",E
ACTIVE NEURONS,"Active Neurons is a game that trains the player in spatial logical thinking.

By controlling the power of thought, you must charge the neurons. The more the neurons are charged, the healthier the brain becomes. The healthier the brain becomes, the more of a fully-fledged life the person will live.

It may seem simple, but it won't be as simple as it seems. To choose the direction of movement, the power of thought should be at rest, so it is important for you to correctly use the obstacles presented on every level.

Think, make a decision, and look for the right path to the neurons in order to charge them.","Genre(s): Puzzle, General, Logic",N/A,tbd,Sometimes You,PlayStation Vita,"Apr 29, 2020",E
ACTIVE SOCCER 2 DX,"Active Soccer 2 DX is a top-down arcade football game providing a fast-paced arcade experience, implementing amazing playability and responsive easy-to-learn/hard-to-master controls. Active Soccer 2 DX provides a complete career mode, implementing many international leagues, cups and championships. Imagine being the manager of a 5th division English team - you have a budget and your goal is to be promoted to higher divisions, by purchasing players, creating tactics, managing the team and playing real matches!

- Multiplayer game, up to 8 local players
- Career mode, supporting 850 teams (club and national) from all over the world and 22,000 players with individual skills
- Classic teams and hundreds of legendary players included
- Competition designer
- Team editor
- Varied weather conditions
- Different camera views: you can play vertically, horizontally or with a diagonal view
- Soundtrack created by Chris Huelsbeck
- Amazing fun!","Genre(s): Sports, Team, Soccer, Arcade",N/A,tbd,Gianluca Troiano,PlayStation Vita,"Jul 25, 2017",N/A
ACTUAL SUNLIGHT,"Actual Sunlight is a short interactive story about love, depression and the corporation. The game puts you in the role of Evan Winter, a young professional in Toronto, as he moves through three distinct periods of his life. The story is linear, unavoidable and (hopefully) thought-provoking. You experience his perceptions, fall under the consequences of his decisions, and meet everyone who didn't change him.","Genre(s): Action, Adventure, General",75,6.3,Will O'Neill,PlayStation Vita,"Aug 11, 2015",N/A
ADVENTURE BAR LABYRINTH,"Adventure Labyrinth Story is a rogue-like RPG that challenges you to tackle an unknown dungeon. To bring back the legendary treasure, you’ll need to enter the depths of the dungeon, find weapons and shields, and use magic rods and potions to fight against monsters and raise your level.

Each time you enter the dungeon, its structure changes along with the items and monsters within it. You can challenge the dungeon again and again, even if you’ve already cleared it. If you’re defeated, the items you obtain will all be lost, and your level will be reset to 1.

The ingredients you collect from the dungeon can be cooked in the bar to make food, granting positive effects and EXP for the next adventure. Use all sorts of items to deal with the monsters, find rare treasures and reveal the mystery of the labyrinth!","Genre(s): Action, Role-Playing, General, Roguelike",N/A,tbd,"RideonJapan,Inc.",PlayStation Vita,"Jul 17, 2013",N/A
ADVENTURE TIME: THE SECRET OF THE NAMELESS KINGDOM,"Oh My Glob!

Someone has kidnapped all of princesses of the Nameless Kingdom! Naturally Princess Bubblegum sends Finn and his best bud Jake on a heroic adventure to rescue and choose the princess who commands the Nameless inhabitants in the Land of Ooo. After all, every kingdom needs a princess who rules.

Features
-Play as Finn in a brand new, top-down action adventure game!
-Vanquish new and familiar foes as you battle your way through unique temples!
-Solve puzzles and overcome challenges in each of the temples to rescue the princesses of the Nameless kingdom!
-Help out new and fan-favorite Adventure Time characters with their mini quests!
-Upgrade your weapons and acquire new abilities while avoiding curses throughout the Land of Ooo!
-Help out fan-favorite characters with their mini adventures including Ice King, Marceline, Lumpy Space Princess, Tree Trunks, Magic Man and many more!","Genre(s): Action Adventure, General, Fantasy, Open-World",N/A,5.7,WayForward,PlayStation Vita,"Nov 18, 2014",E10+
ADVENTURES OF ALBANUS,"The incredible open world adventure game for the PlayStation Vita is finally here!

Adventures of Albanus puts you in the shoes of a noble warrior named Albanus, who has arrived in a distant and foreign land. As Albanus, you can explore four separate kingdoms, fight four ruthless enemy factions in their respective villages, and battle to the death in the violent Grand Arena!

So, what are you waiting for? Draw your sword, and play Adventures of Albanus today!","Genre(s): Action Adventure, Open-World",N/A,tbd,Seth Eislund,PlayStation Vita,"Mar 3, 2015",N/A
ADVENTURES OF MANA,"Enshrined atop Mt. Illusia, high above the lofty clouds, stands the Tree of Mana. Drawing its life energy from the boundless celestial aether, the sentinel grows in silence. Legend holds that he who lays his hands upon its trunk will be granted power eternal - a power the Dark Lord of Glaive now seeks to further fuel his bloody quest for domination.

Our unlikely hero is one of countless gladiators indentured to the Duchess of Glaive. Each day, he and his ill-fated companions are dragged from their cells and bade to fight exotic beasts for the amusement of the Dark Lord. If victorious, they are thrown back into the dungeons with just enough bread to tide them over until their next match. But a body can only take so much, and it is never long before the weary captives succumb to their cruel fates.","Genre(s): Role-Playing, Action RPG",66,8.2,Square Enix,PlayStation Vita,"Jun 28, 2016",E10+
AEGIS OF EARTH: PROTONOVUS ASSAULT,"A frenetic new spin on action strategy gaming. Dig in, plan out and build up your defenses as hordes of hulking monstrosities bombard your heavily fortified city in an attempt to wipe you off the Earth for good. Command the final bastion of humanity as you fight for the survival of the species using fantastic tech, cunning tactics and massive weapons. [Aksys]","Genre(s): Strategy, Real-Time, Defense",N/A,8.2,Acquire,PlayStation Vita,"Mar 15, 2016",N/A
AETERNOBLADE,"In the region of Awelsia, vengeful Freya travels with an unknown weapon called ""AeternoBlade"" to take revenge from Beladim, the Lord of the Mist who destroyed her village, Ridgerode, and killed her tribe. Her vengence is helped by Vernia , who has as much merit as Beladim. Vernia taught Freya about the ablility of AeternoBlade.

Freya has to venture in many world dimensions to find how to annihilate Beladim.

What is AeternoBlade? and How can Freya take revenge from Beladim ? Solve tons ton of mysteries in her adventure!","Genre(s): Action, Platformer, 2D, 3D",50,6.7,Corecell Technology,PlayStation Vita,"Feb 10, 2015",N/A
AGE OF ZOMBIES,"Age of Zombies is a game where the hero, Barry Steakfries, employs the use of time portals to stop the evil zombie scheme of Professor Brains. Using a huge pile of weapons and explosives, Steakfries is the real deal for blood-splattering needs.","Genre(s): Action Adventure, Horror, Survival",74,6.7,Halfbrick Studios,PlayStation Vita,"Jan 14, 2014",N/A
AGRAVE KEY MIND C,N/A,"Genre(s): Adventure, General",N/A,tbd,AGrave,PlayStation Vita,"Nov 4, 2014",N/A
AGUS ADVENTURE,N/A,"Genre(s): Action, General",N/A,tbd,Zeshan Sajid,PlayStation Vita,"Sep 2, 2014",N/A
AHHH! ASTEROIDS,N/A,"Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down",N/A,tbd,LostVision Gamestudio,PlayStation Vita,"Mar 10, 2015",N/A
AIK COMMANDO,N/A,"Genre(s): Action, General, General",N/A,tbd,DenySoft,PlayStation Vita,"Aug 21, 2013",N/A
AIK THE BARBARIAN,N/A,"Genre(s): Action, General, General",N/A,tbd,DenySoft,PlayStation Vita,"Aug 14, 2013",N/A
AIR HOCKEYZ: ZOO OF MADNESS,N/A,"Genre(s): Action, Arcade",N/A,tbd,Pixel Bones Studios,PlayStation Vita,"Jun 2, 2015",N/A
AIR RACE SPEED,"Air Race Speed is a solo time-trial racing game where you pilot the most powerful futuristic jets through adrenaline-fuelled challenging tracks. Compete against your friends through online rankings, and get to the top of the rankings.","Genre(s): Action, General, Racing, Arcade, Futuristic",79,7.1,QubicGames,PlayStation Vita,"Dec 20, 2016",N/A
AKIBA'S BEAT,"A PULSE POUNDING JRPG FROM THE STREETS OF OTAKU-CENTRAL!
Hit the hyper-colourful real-world streets of Akihabara in Tokyo!
Real time battle system using music to enhance your combat abilities!
Team up in mind-bending dungeons, where imagination and reality collide!","Genre(s): Role-Playing, Action Adventure, Action RPG",N/A,6.1,Acquire,PlayStation Vita,"May 16, 2017",N/A
AKIBA'S TRIP: UNDEAD & UNDRESSED,"The game features a recreation of Japan's Electronics Mecca - much like a virtual tour of Tokyo's Akihabara ward. Major outdoor locales from the city have been carefully recreated, with over 130 real-life shops accurately represented.","Genre(s): Action Adventure, Adventure, General, Open-World",64,7.4,Acquire,PlayStation Vita,"Aug 12, 2014",M
ALIEN (AUGMENTED REALITY),N/A,"Genre(s): Action, General",N/A,tbd,TEASOFT,PlayStation Vita,"Dec 3, 2013",N/A
ALIEN BREED,"With the PS3 and PS Vita version the developer introduces additional features, such as the ability for players to team up on either system via cross-platform play. There is also ad-hoc and online co-op multiplayer for PS Vita, and local and online co-op multiplayer for PS3. There is also a Cross-Platform Continuation Play in the mix too, allowing players to carry on their PS3 save game progress on their PS Vita and vice versa. [Playstation.com]","Genre(s): Action, General, General, Shooter, Shoot-'Em-Up, Top-Down",64,7.2,Team17,PlayStation Vita,"Feb 12, 2013",E10+
ALIEN BREED (PS MOBILE),"Alien Breed is the classic sci-fi, top-down shooter developed by Team17. Launching originally in 1991, Alien Breed has now been re-imagined for PlayStation3 system and PlayStationVita system, which can only mean one thing its time to turn down the lights, turn up the sound and encounter Alien Breed again!

Features:
Story Mode choose from 30 levels including three new level packs: Convergence, Valiance and Synergy.
Enhanced visuals or play using the original 16-bit graphics
Ad Hoc and Online Multiplayer
Team up on either PS3 or PlayStationVita system via cross-platform play
Cross-Platform Continuation Play
Leaderboards
21 Trophies","Genre(s): Action, General, General, Shooter, Shoot-'Em-Up, Top-Down",68,5.8,Team17,PlayStation Vita,"Nov 14, 2012",N/A
ALIEN SHOOTER,"Sinister hordes of bloodthirsty aliens have infiltrated our world! Take on the role of a soldier and head to a secret military laboratory to end this invasion! You'll have a ragtag arsenal at your disposal, everything from pistols to with machine-guns and high-caliber blasters. Keep your eyes open: you never know what's waiting around the corner...","Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical",N/A,tbd,Sigma Team,PlayStation Vita,"May 19, 2015",N/A
ALIEN WALK,N/A,"Genre(s): Action, General",N/A,tbd,Syntetic Dreams,PlayStation Vita,"Mar 4, 2014",N/A
ALONE WITH YOU,"Assume the role of the last survivor of a doomed space colony, trying to repair your ship and escape a planet before it implodes around you. Spend your days searching for clues and parts you need with your troubled AI companion, and your nights in the colony’s holo-sim chamber, experiencing some surprising, story-defining relationships. [Playstation.com]","Genre(s): Adventure, General",82,8.3,Benjamin Rivers,PlayStation Vita,"Aug 23, 2016",N/A
ALPHABET ISLAND,N/A,"Genre(s): Miscellaneous, Edutainment",N/A,tbd,Lavabean,PlayStation Vita,"Jul 15, 2014",N/A
ALPHASET BY POWGI,"This new word puzzle is a mix of crosswords and sudoku, challenging both your vocabulary and your deduction skills.

There are 26 blank squares. Each letter of the alphabet must be placed exactly once in order to fill the grid with valid English words.

Reveal a terrible joke each time you solve a puzzle!","Genre(s): Puzzle, Logic",N/A,tbd,Lightwood Games,PlayStation Vita,"Aug 25, 2020",N/A
ALTERIC,"You are alone. Are you lonely? You're lost. Or stuck? Somewhere...but where? And most importantly, who are you?

Only Yesterday You Were A Man. Today Everything Has Changed.

You Died.

But your soul is still there. It's a piece of light energy trapped in the alien space between two worlds.

Jump through boiling lava; run from perilous traps and saw blades; glide and climb through catacombs; fall into the abyss and overcome gravity. And don't forget to switch to a parallel dimension in time, because it's Alteric!","Genre(s): Action, Platformer, 2D",N/A,tbd,goonswarm,PlayStation Vita,"Oct 11, 2017",E
ALVASTIA CHRONICLES,"Set out on an adventure in a retro-styled world. After encountering the man who killed their parents ten years ago, Elmia and her brother Alan set out to avenge their deaths and restore peace to Alvastia.","Genre(s): Role-Playing, Japanese-Style",N/A,tbd,Kemco,PlayStation Vita,"Feb 12, 2019",E10+
AMBITION OF THE SLIMES,"Ambition of the Slimes is a turn-based strategy RPG that controls the slimes to battle.

Different kinds of slimes have their own abilities, you have to choose the proper slime to take over the enemy and consider how to battle with them.

Many tactics can be used in battle and your choice is the key to victory. Try another method if you cannot defeat your enemy because the slimes are too weak to battle by themselves.","Genre(s): Strategy, Turn-Based, General, Fantasy, Tactics",N/A,tbd,altairworks,PlayStation Vita,"Jan 13, 2015",N/A
AMNESIA: MEMORIES,"On the 1st of August, you awake as the Heroine, with previous memories of who you are somehow snatched away from you. In your confusion, a mysterious spirit named Orion appears to help you regain your memories. Youll explore your own world as a complete stranger, trying to understand what was once familiar all while hiding your condition from the five men close to you. Because, as Orion warns, you may jeopardize any chance of recovering your memories if anyone finds out. Its now up to you recover the past to rewrite your future love story!","Genre(s): Adventure, Visual Novel",72,7.2,Idea Factory,PlayStation Vita,"Aug 25, 2015",T
AMONG THE STARS,N/A,"Genre(s): Action, Shooter, Shoot-'Em-Up, Vertical",N/A,tbd,goodSuM games,PlayStation Vita,"Jun 16, 2015",N/A
ANGRY BIRDS STAR WARS,"Join an epic adventure with the Angry Birds in the legendary Star Wars universe, re-mastered for gaming systems! Use the Force, wield your Lightsaber, and blast away Pigtroopers on an intergalactic journey from the deserts of Tatooine to the depths of the Pig Star! Can you become a Jedi Master and restore freedom to the galaxy?","Genre(s): Strategy, Puzzle, Action, General, General",N/A,2.8,Exient Entertainment,PlayStation Vita,"Oct 29, 2013",N/A
ANGRY BIRDS TRILOGY,"Angry Birds is taking flight for the first time ever and crashing on game consoles everywhere! 3 Best-Selling Angry Birds games in 1, 19 exclusive levels and over 100 hours of addictive gameplay!","Genre(s): Action, Miscellaneous, General, General, Compilation",N/A,5.5,Exient Entertainment,PlayStation Vita,"Oct 15, 2013",N/A
ANIMALS: CROSS THE LINE,N/A,"Genre(s): Action, Arcade",N/A,tbd,LostVision Gamestudio,PlayStation Vita,"Feb 10, 2015",N/A
ANOTHER WORLD: 20TH ANNIVERSARY EDITION,"Also known as Out Of This World, Another World is a pioneer action/platformer that released across more than a dozen platforms since its debut in 1991. Along the years, Another World has attained cult status among critics and sophisticated gamers alike.

Another World chronicles the story of Lester Knight Chaykin a young scientist hurtled through space and time by a nuclear experiment that goes wrong. In an alien and inhospitable world, you will have to dodge, outwit, and overcome the host of alien monsters, while surviving an environment as deadly as your enemies. Only a perfect blend of logic and skill will get you past the deadly obstacles that lie in wait.","Genre(s): Action, Adventure, General, Platformer, 2D",N/A,7.2,The Digital Lounge,PlayStation Vita,"Jul 8, 2014",T
ANTGUY - ANT ROUTE PUZZLER! -,N/A,"Genre(s): Action, Platformer, 2D",N/A,tbd,camel504,PlayStation Vita,"May 26, 2015",N/A
ANTIQUIA LOST,"Something precious forgotten by the world... Edelstein, a world inhabited by three tribes, in the past was a site of the Great Battle. Today, the world is at peace due to the three tribes' cooperation. But dark clouds are gathering over a peaceful future that the world thought would last perpetually... It's time for Bine and his friends to discover the truth of the history of the world!","Genre(s): Role-Playing, Japanese-Style",N/A,tbd,EXE Create,PlayStation Vita,"Sep 5, 2017",E10+
APE OF STEEL,N/A,"Genre(s): Action, General",N/A,tbd,Harold Mintah,PlayStation Vita,"Apr 14, 2015",N/A
APOCALYPSE DEFENSE,N/A,"Genre(s): Strategy, Real-Time, Sci-Fi, Sci-Fi, General",N/A,tbd,Tim Collins,PlayStation Vita,"May 8, 2013",N/A
APPLI ARCHIVES G-MODE KARATE SPIRITS,N/A,"Genre(s): Miscellaneous, Compilation",N/A,tbd,Hamster,PlayStation Vita,"Apr 21, 2015",N/A
APPLI ARCHIVES IDAC ESCAPE GAME PACK 1,N/A,"Genre(s): Miscellaneous, Compilation",N/A,tbd,Hamster,PlayStation Vita,"Jan 13, 2015",N/A
