title,description,genre
11-11: MEMORIES RETOLD,"11th November 1916, a young photographer leaves Canada to join the Western Front in Europe. The same day, a German technician is told that his son is missing in action on the front… They will discover the reality of war, crossing paths, on the front, and the rear, trying to preserve their humanity for their loved ones in the face of disastrous events… If they can come back. At 11am the 11th Day of the 11th Month of year 1918, they will face the biggest decision of their lives… This is the moving story of the end of World War One. [Bandai Namco]","Genre(s): Adventure, General, 3D, Third-Person"
112TH SEED,"Life must find a way!

In a future where Earth has become uninhabitable and food is so scarce that most of humanity has perished, take the role of a seed that could restore hope! Make your way through the last labs constructed to cultivate a plant species capable of surviving any environment.

Solve puzzles, avoid traps, grow plants and find an exit in this casual yet challenging pixel art platformer.","Genre(s): Puzzle, Action"
140,"At its heart 140 is an old-school platformer set in a world of abstract colorful graphics, but it has a musical twist. You’ll need to overcome obstacles that are controlled by an energetic, yet melancholic electronic soundtrack - meaning you’ll need a heightened sense of rhythm to sync up your every move and jump to the music.","Genre(s): Action, Platformer, 2D"
1971 PROJECT HELIOS,"1971 Project Heliosis a turn-based strategy game which combines modern warfare military tactics and close combat. Firearms and vehicles are scarce, conflicts and hostilities have no end, and the terrible freezing cold annihilates friends and foes in its path.","Genre(s): Strategy, Turn-Based, Tactics"
1979 REVOLUTION: BLACK FRIDAY,"Based on true stories and historical events, 1979 Revolution: Black Friday is an interactive drama about choice and consequence, chaos and order.","Genre(s): Adventure, General"
2 GAME BUNDLE: TONY STEWART'S ALL-AMERICAN RACING + TONY STEWART'S SPRINT CAR RACING,"Built in collaboration with 3 time NASCAR Cup Series Champion and 2020 NASCAR Hall of Fame Inductee Tony Stewart, All-American Racing features an all new physics engine with US Legend Cars, Street Stocks, and Big-Block Modifieds along with 26 brand new dirt tracks! For the first time, you're in complete control of what you race and how you want to race it with a totally revamped Career Mode. Build your enterprise and become a racing mogul as you expand your team across multiple series and build your organization into a racing EMPIRE! It's the racing game you've been asking for!

- Three unique vehicle types (US Legend Cars, Street Stocks, Big Block Modifieds) combined with a brand new physics engine let you slide the cars through the turns like never before.
- All new non-linear Career Mode. Race in as many different series as you like. Hire staff to help maximize your revenue and grow your racing EMPIRE!
- Enhanced Custom Car Creator featuring more car number options and a new pattern overlay system.
- 25-player Online Multiplayer, Championship Mode, Quick Race, and Split Screen.
- 26 all-new dirt tracks.
- Free Bonus Game! Feel the rush of a 900 HP Sprint Car as you slide through the turns and take the checkered in Tony Stewart's Sprint Car Racing.","Genre(s): Miscellaneous, Racing, Simulation, Compilation, Automobile"
2 SYNCHRO HEDGEHOGS,"A puzzle-platformer with two hedgehogs moving in sync! Polish your logic by controlling a team of twins in one move!

The level is passed when the hedgehogs collect all the apples.","Genre(s): Puzzle, Action"
2048 COLORFUL,"2048 is an easy and fun puzzle game. Even if you don't love numbers you will love this game. It is played on a 4x4 grid using the arrows or swipe to move the tiles alternatively. Every time you operate - all tiles slide. Tiles with the same value that bump into one-another are merged. Although there might be an optimal strategy to play, there is always some level of chance. If you beat the game and would like to master it, try to finish with a smaller score. That would mean that you finished with less moves.","Genre(s): Puzzle, Logic"
2048 MANIAC,N/A,"Genre(s): Puzzle, Logic"
2048X,N/A,"Genre(s): Puzzle, Logic"
2064: READ ONLY MEMORIES,"Read Only Memories is a new cyberpunk adventure that will take you on a journey of puzzle-solving and exploring as you investigate the mysterious world and characters of Neo-San Francisco. Inspired by both classic Japanese and Western adventure games, ROM is a retrofuturistic take on the point and click adventure genre that features a rich mature narrative and unique gameplay challenges hidden within the beautiful interactive pixel scenes. The deeper you delve into the life of your missing friend, the further you get entangled into this tale about the dark side of technology.
Can you survive in Neo-SF? Or will the mystery go unsolved?","Genre(s): Adventure, Point-and-Click"
20XX,"Jump and shoot your way through changing levels, collect awesome new powers, and battle mighty bosses in the name of saving the human race… maybe. 20XX is a roguelike action platformer that you can play with a friend featuring full co-op either locally on your couch or online.","Genre(s): Action, Platformer, 2D"
2DARK,"From Frédérick Raynal, the creator of Alone in the Dark and pioneer of survival-horror, 2Dark is a grim journey of stealth and courage into the heart of corruption. Use your cunning to infiltrate Gloomywood’s bastions of cruelty. Investigate to uncover the secrets of the deranged psychopaths within, seek retribution for their crimes, and bring the children to safety.A NEW STEALTH-HORROR ADVENTURE- A nerve-wracking experience of ruthless consequences with only your wits to guide you.- Perfect your plan to infiltrate intricately handcrafted levels and escape with the children.- Stick to the shadows and step carefully. Light and sound can be your allies, and your undoing.- Supplies are limited. From flashlight batteries to bullets, make every item count.- Investigate every nook and cranny to expose the sinister secrets behind the abductions.- Kids will be kids. Stop for too long and they'll fidget and cry, putting both of you in harm's way. [Microsoft.com]","Genre(s): Action Adventure, General"
2URVIVE,"After the world is devastated by a virus, you must now defend yourself against hordes of infected… sooner or later, however, your time will come. So it’s time to fight until the end! In this top-down, tactical shooter, prepare for each oncoming wave, buy weapons and ammo, and stay alive as long as you can.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
3 OUT OF 10: SEASON ONE,"Will Shovelworks Studios ever make a game that scores better than a 3/10? Experience the world's first Playable Sitcom to find out.

Join the ongoing adventures of developers at the world's worst video game studio as they endure antics both absurd and topical.","Genre(s): Adventure, General"
35MM,"Post-apocalyptic story about two travelers who set out on a long journey in the wasteland, left by people after the global epidemic. The disaster destroyed much of the world's population, the infrastructure went wrong and the common life remained only in memories. The times when a human has adapted the environment for himself have end and now, in order to survive, he will have to adapt to changes. You will have to play the character whose path runs through the deserted towns and cities in Russia, fields and forests of a vast country and even a secret underground facility.

Who are we, where are we from and where do we go we will be lucky to know it only at the end!

This adventure story will let you explore in more detail a number of interesting locations of post apocalyptic Russia, filled with a variety of items and secrets. During the journey you will collect supplies, food, batteries and weapons, solve quests and move forward on the plot, which has several variation in the final, depending on your actions.","Genre(s): Action Adventure, Survival"
39 DAYS TO MARS,"Embark on the 19th century’s most unreliable spaceship in this two-player couch co-op adventure. 39 Days to Mars is a unique game designed to be played with a friend, where both players have important roles in the expedition. Solo players are aided by the computer-controlled ship’s cat.","Genre(s): Puzzle, Action"
3D BILLIARDS: POOL & SNOOKER REMASTERED,"Step up to the virtual table and show what you can do with a cue! In addition to the pool hall classic eight-ball, you can also play nine-ball, ten-ball and even snooker! Whether alone against the AI or in a duel against a real player on the same console, you'll send balls careening across the table in four selectable, highly-detailed rooms as you work your way up the local high score list.

Take aim, put a bit of finesse on your shot and play like a real pro!","Genre(s): Sports, Individual, Billiards"
3D BOX SOKOBAN,"The famous Sokoban push blocks puzzle game comes to your X-Box/PC/Surface all in 3D.

Move blocks to the desired rooms to complete each level.

With over 50 levels form simple to hardest and an auto-solving system there to help, 3D Sokoban will bring you hours of clever fun!","Genre(s): Puzzle, General"
3D STACK BALL,"Bounce on and destroy platforms stacked in rotating spirals to complete levels.

Sounds easy? Simple gameplay but tricky levels!

Hit colored plates to destroy them and descend your ball. But hitting a black plate means Game Over!

You can choose to play at full speed at your own risks and benefits, or go carefully, waiting for the best opportunity to fall down.","Genre(s): Puzzle, Action"
3D.CHECKERS,N/A,"Genre(s): Miscellaneous, Board / Card Game"
3D.REVERSI,N/A,"Genre(s): Miscellaneous, Board / Card Game"
3ON3 FREESTYLE,"3on3 FreeStyle allows players to work with their teammates to pull off rim-shaking slam dunks, awe-inspiring alley-oops, flashy no-look passes, and clutch outside shots which breaks the heart of the opposing team in competitive games filled with the joy and energy of street basketball.

The game's unique free-to-play approach means that players can dedicate the time needed to master the game and become online street basketball legends.","Genre(s): Sports, Team, Basketball, Arcade"
41 HOURS,"41 Hours is a first-person shooter dramatic game that follows the narrative of Ethan, a workaholic scientist in search of his long-lost wife. The story is intriguing and it takes several surprising turns as it develops over 11 Chapters and 20 hours of gameplay.

In his journey, you get to:

Use portals for teleportation through the space-time continuum.

Experience extraterrestrial environments.

Fight overwhelming waves of robots and alien-manipulated zombies.

Solve mind-challenging puzzles.","Genre(s): Action, Shooter, First-Person, Arcade"
50 YEARS,"50 Years is a fast-paced alternative to the bigger, longer turn-based strategy games. You can win or lose a game in a single evening. Either way you'll want to play it again.","Genre(s): Adventure, General, Strategy, Turn-Based, 4X"
60 PARSECS!,"60 Parsecs! is an Atomic Space Age adventure of scavenge and survival. Keep your crew alive and ready for action. Make difficult choices, face soup shortages and other horrors of outer space. And maybe reach your destination. Or not.","Genre(s): Adventure, General"
60 SECONDS!,"60 Seconds! is a dark comedy atomic adventure of scavenge and survival. Collect supplies and rescue your family before the nuke hits. Stay alive in your fallout shelter. Make difficult decisions, ration food and hunt mutant cockroaches. And maybe survive. Or not.","Genre(s): Action, Action Adventure, General"
60 SECONDS! REATOMIZED,"The post-apocalyptic dark comedy is back - remastered and even more radioactive than before! Scavenge supplies, rescue your family, and stay alive in your fallout shelter. Make difficult decisions, hunt mutant roaches... and maybe survive. Or not.","Genre(s): Action, Action Adventure, General"
6180 THE MOON,"Let's super high jump through the screen! 6180 the moon is a platformer game with a unique mechanic. It offers a fresh, unseen game play style by connecting the top and bottom of the screen. This allows in a mechanic with delightfully long jumps and no fear of ""slipping"" to death.
In addition to the unique gameplay, 6180 the moon delivers a unique storyline. The Sun has gone. The Moon sets off on a journey to find the Sun. Along the journey will be hazardous courses and deep realizations.","Genre(s): Action, Platformer, 2D"
6SOULS,"6souls is a challenging action-platformer with over 80 levels to beat and 6 bosses to defeat.

Embark on an exciting journey to find the abandoned Clifford Castle and uncover its secrets!
Our heroes, adventure enthusiasts Jack and his faithful dog companion Butch, go on an exciting quest to find an abandoned castle where the entire Clifford family vanished years ago. The whole castle is surrounded by mystery, from its dark dungeons to its highest towers. While discovering new rooms, our heroes will learn fascinating details about the Clifford family, meet the castle's peculiar residents and uncover its secrets.","Genre(s): Action, Platformer, 2D"
7 DAYS OF ROSE,"Michael considers himself to be a boring, average 17-year old.
While most of his classmates have discovered their passions and talents, nothing seems to draw his interest. It's finally summer and he's trying to decide what to do with his life after school, when his parents announce a special family trip; One week on a tropical island! An exotic place where nobody knows him... Perhaps this is a chance for him to become someone else; someone interesting! This genius plan is tested when he meets Rose, an intriguing, quirky girl. Entranced by her, Michael spends seven days in her life...

But not everything is what it seems.
What does she hide behind that beautiful smile?","Genre(s): Adventure, Visual Novel"
7 DAYS TO DIE,"It’s an open-world sandbox game to play alone, via splitscreen, or online, that gives you an enormous amount of freedom to choose how to survive in a post-apocalyptic world. You’re dropped into a harsh environment with almost nothing – not even clothes on your back. Through scavenging, crafting, and hunting, you’ll eventually put together the basic items you’ll need to live. You’ll have to deal with cold, heat, hunger and thirst, and there are wild animals that see you as prey. But that’s not the worst, because you’re not alone — the undead wander all around you. Slow and relatively easy to avoid by day, at night they become merciless, fast-moving killers, hungry for your flesh.","Genre(s): Action, Action Adventure, Shooter, Survival, Sandbox, First-Person, Arcade"
7TH SECTOR,"Welcome to the 7th Sector, set in a mysterious cyberpunk world. Immerse yourself on this intricate path, solving different puzzles, facing its dangers, and collecting scattered information to discover the story of this world.","Genre(s): Action Adventure, Adventure, Puzzle, Action, General, Linear"
8 TO GLORY: THE OFFICIAL GAME OF THE PBR,"8 To Glory – Bull Riding, the official game of the PBR, gives you the full experience of being a professional bull rider. Show your skills as one of the world’s top bull riders against the toughest bulls in the sport today.","Genre(s): Sports, Individual, Other"
8-BALL POCKET,"8-Ball Pocket brings you eight-ball pool, also known as American billiards. You can compete with up to 4 friends or against the AI in Versus mode, or challenge the best in the world in Arcade mode, where you can make combo shots and rack up points to become Number 1 in the online ranking. All of this comes in a setting with great graphics and Jazz music.","Genre(s): Sports, Individual, Billiards"
8-BIT ADVENTURE ANTHOLOGY: VOLUME 1,"A compilation featuring faithful remakes of three of the best 8-bit point & click adventure games ever made. Now is your chance to play Shadowgate, The Uninvited, and Déjà Vu the way they were supposed to be played — with a controller in hand and worlds waiting to be explored.","Genre(s): Miscellaneous, Compilation"
8-BIT ARMIES,"8-Bit Armies is Petroglyph's first game in the 8-Bit RTS series. It commemorates the first Command & Conquer games with its accessible gameplay mechanics while providing a fun and timeless art style that introduces new players to the genre. A unique console controller scheme makes it easier than ever to build bases and command large armies without complex button memorization.

FEATURES:

* Jump right in with easy to understand modern military units and structures.
* Play cooperatively or versus the AI choosing from multiple difficulty options.
* Use classic RTS Base-Building mechanics to construct the ultimate HQ from which to attack your foes.
* Explore a variety of locales, destroying everything that gets in your way with devastating superweapons.
* Two campaigns with a total of 40 single-player combat missions for many hours of gameplay.
* Join your friends to play 12 co-op missions against a variety of AI opponents.
* Gather up to 8 online players to team up in one of the dozen multiplayer/skirmish maps.","Genre(s): Strategy, Real-Time, Command"
8-BIT HORDES,"From the team that brought you 8-Bit Armies comes a new fantasy RTS as fast-paced and friendly as the original! 8-BIT HORDES is a colorful strategy-arcade game that is easy to learn for players of all skill levels. Collect resources, build up and defend your base, amass your army of orcs or humans and ultimately crush your opponents! 8-Bit Hordes features offline single-player missions, two-player cooperative missions, AI skirmish mode, and Player-vs-Player Multiplayer modes running on dedicated game servers.","Genre(s): Strategy, Real-Time, Command"
8-BIT INVADERS!,"Control the military might of the Galactic Marine Corps or invade with the savage power of the Cranioids. Collect resources, build your base, amass an army and crush your opponents.","Genre(s): Strategy, Real-Time, General, Command"
80'S OVERDRIVE,"80'S OVERDRIVE is a 2D pixel art racing game, designed to take you back in time to when 8 and 16 bit consoles and arcade games ruled the world. Compete against opponents in career mode to unlock new races, buy new cars, and upgrade them with state-of-the-art technologies! Try your skill in time attack mode and see how far you can get in this race against the clock! Create your own tracks with built-in track generator and easily share them with your friends!

Features:

- 2 game modes and racing track editor;
- 6 retro supercars;
- 8 unique visual themes;
- 13 synth/retrowave music scores;
- tons of retro, handcrafted, pixel-perfect joy!","Genre(s): Racing, Arcade, Automobile"
88 HEROES,"It’s 8:08 AM on August 8, 1988, and the evil Dr. H8 has brought the world to the brink of total annihilation. His demands are simple: pay $88 octillion within 88 minutes, or Dr. H8’s 88 thermo-nuclear warheads will wipe out the Earth! But who will save us in our time of need? The bravest? The boldest? No… the 88 Heroes.","Genre(s): Action, Platformer, 2D"
88 HEROES: H8 MODE ACTIVATE!,"It's 8:08am on 8th August 1988, and the evil Dr. H8 has brought the world to the brink of total annihilation! His demands are simple: pay $88 octillion within 88 minutes, or Dr. H8's 88 thermo-nuclear warheads will wipe out the Earth! But who will save us in our time of need? The bravest? The boldest? No... the 88 Heroes!

Two new heroes - Cath Letics and The Mime team up with the 88 Heroes to bring the pain to Dr. H8. But wait! The evil mastermind gets his revenge with H8 Mode: eight new levels so challenging, even the toughest hero will be tested!","Genre(s): Action, Platformer, 2D"
88 HEROES: RSG CHAMPIONS,"Eight new heroes enter the fray! Plucked from dimensions across the Rising Star universe in a crossover of colossal proportions, they've joined forces with the 88 Heroes to foil Dr. H8's nefarious plans. Use their skills wisely and maybe you'll be able to save the day!

Meet the new heroes:

The M@ge (from Brut@l)
Dex (from A Pixel Story)
Rusty (from SteamWorld Dig)
Gunborg (from Zombie Vikings)
The Conga Masters (from Conga Master)
Vamp Girl (from I Want To Be Human)
Eyas (from The Land of Eyas)
The Ninja (from Ninja Shodown)","Genre(s): Action, Platformer, 2D"
890B,"Against the threat of extinction, can you find a way to preserve humanity?

In the near future, severe pollution has rendered Earth uninhabitable, and now it falls to you to discover a solution. Take the role of Noah, a scientist tasked with locating a new planet with similar specifications to our own. Explore a research lab, find useful items, solve a variety of puzzles and make key choices that will determine your fate and that of mankind.

890B is a top-down 3D adventure game that features a minimalistic yet thought-provoking and impactful storytelling style, one that is largely dictated by player actions. The task at hand is daunting, and there are multiple endings that can result from your successes and failures. Will you guide humanity forward or leave them to extinction?","Genre(s): Adventure, 3D, Third-Person"
8DAYS,"The world has been dominated by dark forces since the beginning of human history. Known as the Masters of Mankind by those directly under their control, these forces will use any means necessary to protect their own interests including starting wars.In 8DAYS the mercenary company G.O.D. (Gold, Oil, and Diamonds, Inc) and the 8DAYS Magazine are two modern instruments used to control the masses. G.O.D. is primarily a peacekeeping force and 8DAYS ensures the bias of public opinion. In 8DAYS players take on the role of Lola “Wasp” and Mike “Ghost”.","Genre(s): Action, Shooter, Shoot-'Em-Up, Top-Down"
9 CLUES 2: THE WARD,"After responding to a distress call from a secluded psychiatric hospital, a young detective and her partner find themselves struggling to solve a murder. As they press the patients and hospital staff they find that there are dark truths being kept from them. Each new clue only raises more questions. Who killed Doctor Crow? What drove one of the male nurses insane? Who is Zed Rascov? Why is the name of a little girl, Ginger, carved into the wood-paneled wall of the dead doctor's office? Can you unravel the mystery? Find out in 9 Clues: The Ward!","Genre(s): Puzzle, Hidden Object"
9 CLUES: THE SECRET OF SERPENT CREEK,"A paranormal private investigator receives a frantic call from her reporter friend Helen, who pleas in a terrified voice for her to leave immediately for the coastal town of Serpent Creek. Urged by her friend's desperate request, the detective arrives at her destination only to find no trace of Helen. Strangely enough, no one from the sleepy town seems to remember seeing the blonde reporter. Weirder still, the town's streets are crawling with snakes, the citizens seem to be sleepwalking through life, and the ground shakes with violent tremors.

Can the detective save her friend, reveal the corruption and hidden agendas of the town's citizens, and stop an evil plot to bring the Snake God back to our world?","Genre(s): Puzzle, Hidden Object"
9 MONKEYS OF SHAOLIN,"9 Monkeys of Shaolin marks a rebirth of the iconic beat 'em up genre in vein of old-school video games. If, as a kid you had hours of fun playing SNES or SEGA beat 'em up videogames crushing foes left and right then this new title from the creators of hardcore brawler REDEEMER is definitely for you. As a mere Chinese fisherman Wei Cheng you have to avenge the death of your friends and family slaughtered in a pirate raid at your peaceful village. Game protagonist is quite a tough nut to crack as he knows the basics of ancient martial arts only mastered by legendary Shaolin monks. Get your trusty battle staff ready for a challenging adventure in Medieval China and for merciless fights with hordes of various enemies. Action-packed battles, user friendly controls and incredible atmosphere of great kung-fu movies of 70s – all this makes 9 Monkeys of Shaolin a choice for every true fan of really hardcore brawlers.","Genre(s): Action, Beat-'Em-Up, 3D"
911 OPERATOR,"In 911 Operator, you take on the role of an emergency dispatcher, who has to rapidly deal with the incoming reports. Your task is not just to pick up the calls, but also to react appropriately to the situation sometimes giving first aid instructions is enough, at other times a police, fire department or paramedics' intervention is a necessity. Keep in mind, that the person on the other side of the line might turn out to be a dying daughter's father, an unpredictable terrorist, or just a prankster. Can you handle all of this?","Genre(s): Simulation, Virtual, Career"
99VIDAS,"""99Vidas"" is a brawler set in a contemporary world, but that pays tribute to both the classic and the new in the gaming industry. Brought to you in 16-bit pixelated glory, chock-full of references to not only gaming but also 80's and 90's pop culture. ""99Vidas"" takes full advantage modern era gameplay mechanics, making it the best of both worlds.

6 stages (with more to come) will take you on a journey to different parts of the world to face hordes of fierce enemies and relentless bosses, but you don't have to do it alone: you can face this challenge with up to 3 other players in co-op play, both local and online.","Genre(s): Action, Beat-'Em-Up, 2D"
9TH DAWN III: SHADOW OF ERTHIL,"9th Dawn III: Shadow of Erthil is a massive open world RPG/dungeon crawler packed full of content – featuring more than 270 monsters to fight and capture, a fun card game with 180 cards to collect, and over 1,400 unique items to hoard.","Genre(s): Role-Playing, Action RPG"
A BOY AND HIS BLOB,"Marking the 20th anniversary of this NES classic, a boy and his blob is a rebirth of this fan favorite title that expands upon the original platform adventure. This Wii exclusive is a heartwarming story of friendship that challenges players to work together with their new blob friend to solve puzzles, defeat monsters and escape danger on Earth and Blobolonia. By feeding the blob jelly beans, players can activate his special abilities to transform him into helpful tools - including a ladder, trampoline, parachute, cannon, shield and many more. Every different blob form aids the boy as he navigates 40 side-scrolling levels filled with hidden treasures and unlockable bonus content.","Genre(s): Action, Platformer, 2D"
A DAY WITHOUT ME,"You just woke up and without knowing it, you were the only person left in the city.

A Day Without Me is a puzzle adventure game, where you have to find out where everyone is going, why is there only you in the city, why are there so many oddities in the city.","Genre(s): Adventure, General"
A FEEBLE SAGA,N/A,"Genre(s): Role-Playing, Action RPG"
A FOLD APART,"In a world of folding paper, there are two sides to every story. After career choices force them along separate paths, a Teacher and Architect vow to make their long-distance relationship work at any cost. Experience both sides of their story as the couple navigates the complexities of (mis)communication and the emotional ups and downs that separation brings.","Genre(s): Adventure, General"
A FROG GAME,Try to catch with your frog as much flies as you can. Eat the flies from your opponent in the two player game and get his points.,"Genre(s): Action, General, Arcade"
A FROG'S JOB,"The omnipotent Frog God has promised you the gift of reincarnation. All you have to do first is to save the lost souls of 40 frogs, which is no easy task. You've been gifted with the ability to suspend and resume time at your will.

Jump over moving platforms, avoid pits, spikes, and enemies, and even create your own hover-board that doubles as a projectile attack!

How many souls can you save? Will the Frog God grant your wish? Find out in this timeless puzzle platformer.","Genre(s): Action, Platformer, 2D"
A GUMMY'S LIFE,"FEATURES
· Multiplayer up to 8 players!
· · Play as a gummy with up to 8 Friends online or in the couch!

· Easy to play, hard to master
· · You can sit down, smash all the buttons and have fun or... use the right move in each situation to take your opponents down!

· Different game modes
· · Hot Potato, King of the Hill, Team Deathmatch... The fun doesn't stop on the classic Free for All mode.

· Tons of levels to play with different game style and mechanics
· · You'll find something new in each level. Each one has a different way to be played. Have fun discovering all their secrets!

· Lots of different gummies to play with
· · Each of them has slightly different stats. You can choose between many different colors and there are also unlockable gummies!

· Crazy fights based on physic simulations
· · Awesome hits and incredible throws. Every fight is genuinely unique.

· Taunts!
· · Taunt your friends to celebrate your victory... or to make them go after you.

· For all ages
· · It's fun and easy to play for all people. You can even play with your granny!

· Gummies!!

A GUMMY'S WORLD
Warning! In A Gummy's Life, gummies have come to life And they are unmanageable!

They have invaded the city, they are all around: in the football stadium, the park, the fortress, the fair even on the flan.
Their non-stop free-for-all fights gain people's attention because of their jellied funny movements, but their blows are solid and well-aimed. Due to their ingenuity, they convert the elements of the landscape into insurmountable obstacles. They seemed so sweet!

Choose your favorite gummy among a great variety, customize it to your taste and enjoy playing and laughing with your friends or your family. Attack! Only one can remain.

Show who is in charge of the sugar!

A Gummy's Life a game in which the winner is the one who enjoys the most. But fun does not end yet, because the game will be updated with new levels and characters which will surprise you.","Genre(s): Miscellaneous, Party / Minigame"
A HAT IN TIME,"A Hat in Time is a 3D collect-a-thon platformer featuring a little girl with a lot of heart! Travel the universe with Hat Kid as you rival the evil Mustache Girl in order to save the world! Unlock new platforming abilities, more combat moves and spice up your attacks with badges attached to your hat!","Genre(s): Action, Platformer, 3D"
A HAT IN TIME: NYAKUZA METRO,"Welcome to the deep underground Nyakuza Metro! It's the perfect place for a little lying, a little cheating... a little stealing. Join the Nyakuza and become mad rich - joining a gang never turned out bad, right?

Nyakuza Metro introduces an all-new chapter with 10 new Time Pieces, a new sticker system, new flairs, new dyes, a new weapon, a new purple Time Rift and more!
Online Party allows you to play online with your friends, in groups of up to 50 players!","Genre(s): Action, Platformer, 3D"
A HAT IN TIME: SEAL THE DEAL,"SEAL THE DEAL introduces:

An all-new chapter: The Arctic Cruise
A new incredibly difficult mode: Death Wish!
Local split-screen co-op! (free for everyone!)
Six new Time Rifts!
A ton of outfits, flairs, dyes and even camera filters!

Note: The Arctic Cruise requires 35 Time Pieces to access. Death Wish requires 27 Time Pieces to access.
Note: Death Wish is exceptionally, brutally difficult. Please take this into account when considering this DLC.
Note: Local split-screen co-op is released as a free update alongside Seal the Deal, free for everyone.","Genre(s): Action, Platformer, 3D"
A HERO AND A GARDEN,Help our hero maintain a garden to repay his debts and learn a lesson in the process!,"Genre(s): Adventure, Visual Novel"
A HOLE NEW WORLD,"Enter at your own risk! If you think the World's dangers are scary, wait'll you see the Underworld ones.

You're in for the longest journey of your life. Ghosts, Zombies, Demons, Wolves, Bat - creatures lurking around every corner. As you advance deeper and deeper, they get thicker and thicker.

Better fight hard to recover the Goddess' Orbs from the Evil Generals' clutches - it's your only chance of finding a weapon or two. You're gonna need'em.

Because when you finally meet Lord Baduk, you know he'll be going for your neck. So keep your courage up and your Potions ready. And listen to Fay.","Genre(s): Action, Platformer, 2D"
