title,description,genres,meta_score,user_score,developer,platform,release_date,rating
3D DOT GAME HEROES,"A long, long time ago, the Dark King Onyx brought an age of darkness upon Dotnia Kingdom. Only by the bravery of a hero with a legendary sword was Onyx sealed in an orb, restoring peace to the world. But Fuelle, a powerful Dark Bishop, has stolen the orb, and with it, peace. Dotnia requires a hero once more! Can you live up to the legend? Ultimate retro love letter -- Seamlessly fusing new and old, the golden era of gaming is felt in every detail of this lovingly-crafted adventure. Eye-popping visuals capture the nostalgic charm of pixel graphics in cutting edge 3D. Simple, but deep action-adventure gameplay is a throwback to the 8-bit era. Veterans will find references and jokes that pay homage to the great games of yore. Awe and adventure live again -- Embark on the next generation of classic exploration and discovery in a grand story-based quest. A hero sets out to gain the power of the six sages and the six orbs that protected the kingdom of Dotnia, which now stands on the verge of destruction. Customize your hero -- When pixels are your building blocks, the possibilities are unlimited. Freely edit the look of your character, or design one completely from scratch, and then trade designs with friends via a compatible USB storage device. Your hero's blade is also upgradeable, letting you add length and width to create a sword that fills the whole screen. [Atlus USA]","Genre(s): Role-Playing, Action RPG, Action RPG",77.0,7.8,Silicon Studio,PlayStation 3,"May 11, 2010",E10+
3D ULTRA MINIGOLF ADVENTURES 2,"In 3D Ultra MiniGolf Adventures 2, players are challenged to navigate their ball beyond obstacles using the help of secret shortcuts, game-changing power-ups and traps to sabotage the competition. Players can also manipulate the game by using special pick-ups to destroy course obstructions or even interfere with competitor's shots. Gamers can bring their A-game as they play in matches of up to four players locally or online. The sequel also offers an intuitive Map Editor tool, allowing full customization of virtual courses and the strategic placement of power-ups and traps. Putt through over 50 fun-filled holes in diverse locations, such as a Haunted Manor, a Manic Museum and a Winter Wonderland. As an added bonus, players can choose from up to four customizable animated characters and are invited to play using their own Xbox 360 Avatars and watch as their personalities unfold in every course.","Genre(s): Sports, Traditional, Individual, Golf, Arcade, Arcade",,tbd,Wanako Studios,PlayStation 3,"Nov 16, 2010",
4 ELEMENTS HD,4 Elements HD is a remake of the hit PC casual game from Boolat Games.,"Genre(s): Miscellaneous, Puzzle, Puzzle, Matching, Matching",65.0,7.5,Boolat Games,PlayStation 3,"Aug 30, 2011",
4 IN 1 ACTION PACK,The 4 in 1 Action Pack is a collection of four downloadable PS3 games.,"Genre(s): Miscellaneous, Compilation, Compilation",,tbd,SouthPeak Games,PlayStation 3,"Aug 1, 2012",
5 STAR WRESTLING,"5 Star Wrestling is a game built on true Ring Psychology with Heel and Face mechanics, a revolutionary Limb Damage System and Rivalries that impact gameplay. Featuring a 40 Hour Challenge campaign with 128 challenges, over 400 objectives, and more moves-per-wrestler than any other game including never before seen Finisher-To-Finisher reversals, 5 Star Wrestling is brimming with content.

Introducing: Raganbrok 'The Conqueror', 'Raging' Andy Organ, HarVee Dee and Jonny 'The Bull' Miavia. 5 Star Wrestling is all about the characters, each coming with their own original theme music, massive move set and spectacular finishing maneuvers which look and feel different depending on the characters physical condition when executing the move. 5 Star Wrestling also features fully customizable, goal-oriented AI, with each character having 5 different personalities to choose from that will significantly change the way matches play out.

If you're a wrestling fan, this game was made for you!","Genre(s): Sports, Individual, Combat, Wrestling",,tbd,Serious Parody,PlayStation 3,"Mar 17, 2015",
50 CENT: BLOOD ON THE SAND,"After performing a sold-out concert in a fictional war-torn country, 50 Cent and the G-Unit are robbed of their cash and paid in kind with a priceless diamond encrusted skull, which is subsequently stolen by the local crime-lord’s gang. Determined to collect his payment and enact revenge on the gangsters foolish enough to disrespect him, 50 Cent sets out to get rich or die trying. 50 Cent: Blood on the Sand features intense third-person action/shooter gameplay, an intuitive cover system, drop in and drop out online multiplayer co-op, merciless melee counter-kills and a soundtrack that combines 50 Cent’s greatest hits with 18 exclusive new tracks. 50 Cent: Blood on the Sand puts players in control of their own virtual action film by blending visuals from the Unreal 3 game engine technology with an over-the-top story and voiceover work by 50 Cent and the G-Unit’s Tony Yayo, Lloyd Banks, and DJ Whoo Kid. [THQ]","Genre(s): Action, Shooter, Shooter, Third-Person, Modern, Modern, Arcade",72.0,6.8,Swordfish Studios,PlayStation 3,"Feb 24, 2009",M
99VIDAS,"""99Vidas"" is a brawler set in a contemporary world, but that pays tribute to both the classic and the new in the gaming industry. Brought to you in 16-bit pixelated glory, chock-full of references to not only gaming but also 80's and 90's pop culture. ""99Vidas"" takes full advantage modern era gameplay mechanics, making it the best of both worlds.

6 stages (with more to come) will take you on a journey to different parts of the world to face hordes of fierce enemies and relentless bosses, but you don't have to do it alone: you can face this challenge with up to 3 other players in co-op play, both local and online.","Genre(s): Action, Beat-'Em-Up, 2D",,tbd,QUByte Interactive,PlayStation 3,"Jul 18, 2017",T
A BOY AND HIS BLOB,"A Boy and His Blob makes its triumphant return! A reimagining of the NES classic, as the boy, you feed your blob jelly beans and watch him transform into cool and useful objects to solve puzzles and escape danger. With its robust and emotionally driven story, challenging puzzles, and visually impressive art style, A Boy and His Blob is sure to become a classic once again.

When Blobolonia is threatened by an evil Emperor, the blob comes to Earth looking for help. Instead, he finds a young boy. Help the blob dethrone the evil Emperor that's terrorizing Blobolonia and establish a friendship with the blob that will last a lifetime.","Genre(s): Action, Platformer, 2D",,tbd,Abstraction Games,PlayStation 3,"Jun 28, 2016",E
A-MEN,"A-Men is played out at A-Cor, the world's biggest producer of A-Droids, robot soldiers, where A-Men's heroes work. The game kicks-off with a major explosion at the factory accidentally releasing hundreds of A-droid soldiers. And so the mind games begin...with your mission to round up all the wayward enemies.","Genre(s): Action, General, General",67.0,6.2,Bloober Team,PlayStation 3,"Mar 26, 2013",
A-MEN,"A-Men is played out at A-Cor, the world's biggest producer of A-Droids, robot soldiers, where A-Men's heroes work. The game kicks-off with a major explosion at the factory accidentally releasing hundreds of A-droid soldiers. And so the mind games begin...with your mission to round up all the wayward enemies.","Genre(s): Action, General, General",67.0,6.2,Bloober Team,PlayStation 3,"Mar 26, 2013",
A-MEN 2,"Prepare yourself for another journey through series of new worlds, featuring multiple challenges with many ways to pass a level and resolve puzzles. A-MEN 2 allows you to hang out with your good, old friends once more. Atom, Antler, Anaconda, Aurelius and Aardvark are ready and waiting to destroy hordes of A-Droids again. So don't let them wait. A-MEN 2 is bringing you four brand new worlds full of enemies, traps and puzzles. Also our brave soldiers got some new skills. You're not convinced? You said that A-MEN part one was so easy? Try us! A-MEN 2 promises to give you more challenges than you expect.","Genre(s): General, Action, General",34.0,tbd,Bloober Team,PlayStation 3,"Nov 6, 2013",
AABS ANIMALS,"Different to normal games, 'Aabs Animals' is an animal entertainment content that does not have any achievement targets for players.

-To love animals
-To have the animals close to you and use them as a digital photo frame
-etc...
Have fun with the animals the way you like.

'Aabs Animals' is also released on PlayStationVita system.

'Aabs Inc.' donates a few percentage of its sales to public organizations for animal protect etc..
About the donated organization and amount of donation, visit the official website below.
http://www.aabs.co.jp","Genre(s): Simulation, Miscellaneous, General, Virtual, Pet",,tbd,Aabs,PlayStation 3,"Dec 17, 2013",
AARU'S AWAKENING,"Defeat a chilling evil
Awaken your power

Can you restore the balance between Dawn, Day, Dusk and Night? With the world of Lumenox under threat by Nights dangerous deeds, only Aaru has the gifts to save this mythical land.

Become Aarus courage and use his powers of teleportation and charging to travel to Nights domain. On your journey youll discover helpful friends... and deadly foes. Only the fastest fingers and quickest wits can solve the fiendish puzzles that await you...","Genre(s): Action, Platformer, 2D",,0.4,Lumenox ehf,PlayStation 3,"Apr 7, 2015",
ABSOLUTE SUPERCARS,"Available this December on PlayStation Network for $9.99, Eutechnyx’s Absolute Supercars allows people of all ages and skill to get behind the wheels of some of the world’s most powerful supercars. Take part in quick races, time trials, championships and even an epic Career mode in an attempt to earn the big bucks and fill your Showroom with a cavalcade of stunning motors! From Ferrari, to Pagani, to Aston Martin and McLaren, there's a car for everyone and a series of stunning tracks to race them on.","Genre(s): Driving, Racing, Simulation, GT / Street, GT / Street, Automobile",,5.9,Eutechnyx,PlayStation 3,"Nov 6, 2012",
ABYSS ODYSSEY,From indie Chilean developer ACE Team comes a new side-scrolling action adventure game featuring a complex fighting engine in procedurally generated levels that destines its three warriors to battle a different abyss each time!,"Genre(s): Action Adventure, Fantasy, Linear",70.0,6.2,ACE Team,PlayStation 3,"Jul 15, 2014",T
AC/DC LIVE: ROCK BAND TRACK PACK,"This exclusive deal marks the first time ever the band has included an entire album for video game play, with 18 live tracks from their prolific live performances becoming available in one electrifying, standalone game. The AC/DC LIVE: Rock Band Track Pack allows players to experience this amazing set list with Rock Band, Rock Band 2 or other compatible music game peripherals. AC/DC LIVE: Rock Band Track Pack features the master recordings from the best of the band’s live performances. The live recording was specially remixed for Rock Band by Mike Fraser. The game features 18 tracks, with more than 99 minutes of game play for each instrument. All tracks from the AC/DC LIVE: Rock Band Track Pack are also available for play in Rock Band and Rock Band 2 by entering a special export authentication code for the Xbox 360 and PS3 versions. [Harmonix]","Genre(s): Action, Miscellaneous, Rhythm, Music, Music",60.0,5.3,Harmonix Music Systems,PlayStation 3,"Nov 2, 2008",T
ACCELERATION OF SUGURI X-EDITION,"In Acceleration of Suguri X Edition, players take on the role of a scorned robot to maneuver through arcade storylines and battle other robots.","Genre(s): Action, Fighting, Fighting, 3D, 2D, 2D",61.0,5.5,Rockin' Android,PlayStation 3,"Feb 15, 2011",
ACE COMBAT INFINITY,"The infinite blue of the open skies awaits not only veteran but also budding flying aces in Ace Combat Infinity, the first free-to-play game in the hit franchise from Namco Bandai Games. Evolving the legendary series with a brand new story and innovative multiplayer, the game turns the sky into an endless blue battleground, bursting with aerial drama and destruction. Ace Combat Infinity will let every player become a deadly flying ace, as they embark on a series of high velocity missions.","Genre(s): Flight, Action, Simulation, Flight, Combat",54.0,5.7,Project Aces,PlayStation 3,"May 27, 2014",T
ACE COMBAT: ASSAULT HORIZON,Climb back into the cockpit with another installment of the Ace Combat series.,"Genre(s): Action, Simulation, Flight, Flight, Combat",77.0,6.8,Project Aces,PlayStation 3,"Oct 11, 2011",T
ACTION HENK,"Action Henk is a lightning fast platform-racing game set in a beautifully crafted 3D toy box world, where a cast of classic action figure inspired characters compete to once and for all prove that Action Henk is the fastest of them all!

The game challenges players to shave milliseconds off their times by running, jumping and butt-sliding with 5 playable characters across over 70 challenging levels in a game which revels in almost sonic speeds.","Genre(s): Action, Platformer, 2D, 3D",,tbd,RageSquid,PlayStation 3,"Mar 8, 2016",
ADAM'S VENTURE CHRONICLES,Join Adam Venture in this vast journey set in the roaring 1920’s. Together with Evelyn they are on a quest to find ancient artifacts in this non-violent adventure game. Solve ingenious puzzles and embark on platform challenges to outsmart the evil Clairvoix Corporation.,"Genre(s): Action, General",49.0,5.1,Vertigo Games,PlayStation 3,"Feb 4, 2014",
ADIDAS MICOACH,miCoach is an interactive training system for the Kinect on Xbox 360 and PlayStation Move.,"Genre(s): Sports, General, General",,4.8,Chromativity,PlayStation 3,"Jul 24, 2012",E
ADVENTURE TIME: EXPLORE THE DUNGEON BECAUSE I DON'T KNOW!,Adventure Time: Explore the Dungeon Because I DON'T KNOW has you save the Candy Kingdom by exploring the mysteries surrounding a massive Secret Royal Dungeon deep below the Land of Ooo.,"Genre(s): Action Adventure, Fantasy, General, Fantasy",40.0,4.0,WayForward,PlayStation 3,"Nov 19, 2013",E10+
ADVENTURE TIME: FINN AND JAKE INVESTIGATIONS,"Adventure Time: Finn and Jake Investigations is an all-new, real-time, fully 3D action-oriented twist on the classic story-driven graphic adventure game. Finn and Jake decide to carry on the profession of Finn's foster parents, who were Professional Investigators. Confronted with mysterious Land of Ooo disappearances and strange events, players will interrogate colorful inhabitants, dispatch evil doers in fast-paced combat, solve mind-bending puzzles, explore new and familiar locations, and genuinely feel as if they have stepped into their own personal episode of Adventure Time.","Genre(s): Adventure, 3D, Third-Person",,7.5,Vicious Cycle,PlayStation 3,"Oct 20, 2015",E10+
ADVENTURE TIME: THE SECRET OF THE NAMELESS KINGDOM,"Oh My Glob!

Someone has kidnapped all of princesses of the Nameless Kingdom! Naturally Princess Bubblegum sends Finn and his best bud Jake on a heroic adventure to rescue and choose the princess who commands the Nameless inhabitants in the Land of Ooo. After all, every kingdom needs a princess who rules.

Features
-Play as Finn in a brand new, top-down action adventure game!
-Vanquish new and familiar foes as you battle your way through unique temples!
-Solve puzzles and overcome challenges in each of the temples to rescue the princesses of the Nameless kingdom!
-Help out new and fan-favorite Adventure Time characters with their mini quests!
-Upgrade your weapons and acquire new abilities while avoiding curses throughout the Land of Ooo!
-Help out fan-favorite characters with their mini adventures including Ice King, Marceline, Lumpy Space Princess, Tree Trunks, Magic Man and many more!","Genre(s): Action Adventure, General, Fantasy, Open-World",,tbd,WayForward,PlayStation 3,"Nov 18, 2014",E10+
AEGIS OF EARTH: PROTONOVUS ASSAULT,"A frenetic new spin on action strategy gaming. Dig in, plan out and build up your defenses as hordes of hulking monstrosities bombard your heavily fortified city in an attempt to wipe you off the Earth for good. Command the final bastion of humanity as you fight for the survival of the species using fantastic tech, cunning tactics and massive weapons. [Aksys]","Genre(s): Strategy, Real-Time, Defense",,tbd,Acquire,PlayStation 3,"Mar 15, 2016",T
AFRIKA,"In AFRIKA, players step into the role of a freelance photographer exploring a brand new conservation area. They'll document the wildlife and photograph incredible sights such as a titanic clash between hippopotamuses, a pride of lions watching over its playful cubs, and a cheetah's lightning-fast chase as it runs down its prey! All of the game's animals and environments are rendered in photorealistic detail
with animals that move, behave, and interact with each other just like their real-world counterparts. The photography in the game is as meticulously modeled as the animals themselves; players will need to learn from the game's innovative photo-grading system and compose their photographs with the eye of a professional photographer if they want to earn top dollar. The money they earn can be used to purchase new licensed lenses, cameras, and safari equipment. If players are good enough, they just might find their photograph on the cover of National Geographic. [Natsume]","Genre(s): Simulation, Adventure, General, General, Virtual, Career",63.0,6.2,Rhino Studios,PlayStation 3,"Oct 6, 2009",E10+
AFRO SAMURAI,"Follow Afro Samurai as he fights to become the number one warrior, a title currently held by Justice, the man who killed Afro’s father when he was a child. The game follows the plot of the original series with added material and background for fans and new comers alike. Blood is beautiful in this hip hop infused action adventure as Samuel L. Jackson reprises his role as Afro and Ninja Ninja. A striking art style gives Afro Samurai a unique look and feel across animated open environments as he wages war against his adversaries to become number one. Using an innovative gameplay system, enemy AI is affected by the beat of the musical score overseen and inspired by RZA of Wu-Tang Clan fame and composed and produced by Howard Drossin. These dynamic battles ensure stylized encounters throughout the game that affect the overall tone of gameplay. Slice and dismember opponents as Afro acrobatically leaps from one location to the next, interacting with anything and everything in the environment to help him on his journey. [Namco Bandai Games]","Genre(s): Action, Beat-'Em-Up, Beat-'Em-Up, 2D, 3D",65.0,6.2,Namco Bandai Games America,PlayStation 3,"Jan 27, 2009",M
AFTER BURNER CLIMAX,"[Playstation Network] The classic arcade game After Burner has now returned for a new generation of gamers. After Burner Climax is fast and frantic action, putting you in the cockpit of the world’s fastest fighter plane. Dodge planes, rockets and bullets while trying to target multiple on-screen enemy aircraft. Built for all skill levels, everyone will be able to take to the air and blaze through a branching storyline and over 20 stages. Unlock achievements along the way to unlock exclusive Avatar Awards using your experience and expertise. [Sega]","Genre(s): Simulation, Flight, Modern Jet, Modern Jet, Combat",75.0,3.5,Sega AM2,PlayStation 3,"Apr 22, 2010",
AGE OF BOOTY,"[Playstation Network] Set in the swashbuckling era, Age of Booty is a casual real-time multiplayer strategy game that puts players at the helm of their own pirate ship with the goal of sending your enemies to the briny deep, and looting and capturing towns for your pirate faction. In Age of Booty, players team up with other online players or AI-controlled pirate ships to raid, pillage, sink, and destroy their way to dominance on the high seas. Spoils of war and booty are used to upgrade and customize pirate ships to make them even more deadly as players take on 25 unique challenges and seven of the most devious Pirate Alliances on the high seas. Gain notoriety and fame by climbing the online leader boards. Create and share custom maps using the intuitive map creation system. Single player and multiplayer real-time action strategy from Certain Affinity, lead by Max Hoberman, designer of Halo 2 and 3's multiplayer game. Raid villages, sink merchants, seize towns, steal gold, upgrade your pirate ship and use your guns and your wits to send your foes to the briny deep. Master twenty-five unique multiplayer maps or create your own and share them with your friends. Up to four players on one console, up to eight players over LAN or the Internet. Tons of customizable options that allow you to tune the game to meet your taste. [Capcom]","Genre(s): Strategy, Miscellaneous, Real-Time, Party, Fantasy, General, Fantasy",74.0,5.7,Certain Affinity,PlayStation 3,"Oct 16, 2008",E
AIR CONFLICTS: PACIFIC CARRIERS,"Air Conflicts: Pacific Carriers combines authentic Second World War settings and a fictitious story that will lead the player through the Arcade-Flight-Action. The starting point for all the flight missions in the campaign is an aircraft carrier in the Pacific, which the player commands as the captain of the ship. The player decides at the beginning of the game whether to engage in battle under the flag of the US Navy or the Japanese Imperial Fleet. In Air Conflicts: Pacific Carriers the battles are also fought in the air, e.g. Pearl Harbor, Midway and Wake Island. Instead of individual aircraft, here the player can control entire squadrons and switch between them during the mission. Various single and multiplayer modes will guarantee long-lasting game fun.","Genre(s): Action, Simulation, Flight, Flight, Combat",,8.0,Games Farm,PlayStation 3,"Aug 6, 2013",T
AIR CONFLICTS: SECRET WARS,"In Air Conflicts: Secret Wars players can relive the most famous battles of the First and Second World War right up close. The game provides plenty of variety, as players can fly 16 meticulously detailed and accurate aircraft in nearly 50 exciting missions in the seven campaigns. The mission tasks are diverse and range from air space clearance operations to the bombardment of targets on the ground, attacks on enemy convoys and reconnaissance, escort and patrol flights. After each successful mission players can upgrade their skills to enable them to control their aircraft more expertly, make their aircraft more robust and select better co-pilots. There are two control modes for the combat aircraft: the controls are simplified in arcade mode and simulation mode offers a realistic control system that is true to the original. Besides the solo campaigns, Air Conflicts: Secret Wars can also offer several multiplayer modes for up to eight players that can be played on a local network and over the Internet.","Genre(s): Simulation, Flight, WWII, WWII, Combat",51.0,7.2,Games Farm,PlayStation 3,"Nov 15, 2011",T
AIR CONFLICTS: VIETNAM,"Air Conflicts: Vietnam offers the popular combination of flight simulation and arcade gameplay. In the course of the game, the player controls over 20 accurately simulated fighter jets and helicopters from the Vietnam War era. In certain missions, the player has to leave the pilots seat temporarily to operate the guns and defend against attacks. If several fighter jets take part in a mission, the player can equip and upgrade them individually, as well as control the entire squadron. Air Conflicts: Vietnam offers a variety of missions and a compelling story set against the background of one of the best-known and most controversial wars in modern history.","Genre(s): Action, Simulation, Flight, Flight, Combat",,tbd,bitComposer Games,PlayStation 3,"Nov 19, 2013",T
AKIBA'S TRIP: UNDEAD & UNDRESSED,"An open-world action RPG which sees players undertaking a myriad of missions in a recreation of Akihabara, Tokyo's notorious ""Electric Town"" district. Your goal is to identify vampires called ""Synthisters"" with the assistance of an in-game smartphone app, then engage them in battle to strip off their clothes so their bodies are fully exposed to sunlight.","Genre(s): Action Adventure, Adventure, General, Open-World",57.0,7.7,Acquire,PlayStation 3,"Aug 12, 2014",M
AKIMI VILLAGE,"In Akimi Village, players obtain blueprints, gather resources, and construct a village to help rid Akimi Island of lingering gloom in this PlayStation Network exclusive.","Genre(s): Miscellaneous, General, General",69.0,3.6,NinjaBee,PlayStation 3,"Jun 15, 2011",
ALEX KIDD IN MIRACLE WORLD,Alex Kidd in Miracle World was one of the first platform games released for the Sega Master System. Alex Kidd was Sega's mascot before characters like Sonic the Hedgehog hit the scene.,"Genre(s): Action, Platformer, Platformer, 2D, 2D",,7.4,M2,PlayStation 3,"May 22, 2012",
ALICE: MADNESS RETURNS,"Alice: Madness Returns takes place 10 years after the conclusion of the original game, with Alice struggling to recover from the emotional trauma of losing her entire family in a fatal fire. After spending a decade institutionalized in an insane asylum, she is finally released to the care of a psychiatrist who just may be able to help her conquer the nightmarish hallucinations that still haunt her. Alice embarks on a mission to root out the true cause of her family's mysterious death, jumping from a gloomy and stark London to a rich and provocative Wonderland.","Genre(s): Action Adventure, Horror, Horror, Survival",70.0,8.2,Spicy Horse,PlayStation 3,"Jun 14, 2011",M
ALIEN BREED,"With the PS3 and PS Vita version they introduce additional features, such as the ability for players to team up on either system via cross-platform play. There is also ad-hoc and online co-op multiplayer for PS Vita, and local and online co-op multiplayer for PS3. There is also a Cross-Platform Continuation Play in the mix too, allowing players to carry on their PS3 save game progress on their PS Vita and vice versa. [Playstation.com]","Genre(s): Action, General, General, Shooter, Shoot-'Em-Up, Top-Down",68.0,3.8,Team17,PlayStation 3,"Feb 12, 2013",E10+
ALIEN BREED 2: ASSAULT,"Can you survive the alien onslaught? Alien Breed 2: Assault is an explosive science fiction arcade shooter with an epic story, swarms of highly intelligent alien enemies, high-impact weapons, and highly detailed and rich environments, developed using Epic Games' Unreal Engine 3. Take control of the hero, Conrad, the ship's Chief Engineer, and continue your fight for survival on the fatally damaged space vessel against a ruthless assault by the alien horde. In addition to the thrilling single-player campaign and all new survivor mode, the game offers relentless, action-packed, online or local two-player cooperative battle modes for Xbox LIVE Arcade.","Genre(s): Action, Action Adventure, Horror, Shooter, Third-Person, Sci-Fi, Arcade",69.0,5.0,Team17,PlayStation 3,"Dec 7, 2010",T
ALIEN BREED 3: DESCENT,"With Alien Breed 3: Descent, gamers can fight to the conclusion of the latest trilogy.","Genre(s): Action, Shooter, Shooter, Third-Person, Sci-Fi, Sci-Fi, Arcade",64.0,5.1,Team17,PlayStation 3,"Feb 22, 2011",T
ALIEN BREED: IMPACT,Team 17 are reviving the classic Alien Breed franchise in this all new Unreal powered remake.,"Genre(s): Action Adventure, Horror, Horror, Survival",71.0,6.3,Team17,PlayStation 3,"Oct 5, 2010",T
ALIEN RAGE,Alien Fear is an Unreal Engine 3-powered arcade FPS that is coming to XBLA and Sony Entertainment Network.,"Genre(s): Action, Shooter, Shooter, First-Person, Sci-Fi, Sci-Fi, Arcade",,7.5,CI Games,PlayStation 3,"Oct 22, 2013",
