title,description,genres
ARMIKROG,"Unravel the mysteries of the fortress that holds Tommynaut and his blind alien talking dog Beak-Beak captive

Armikrog is a unique stop motion clay animated point and click adventure game from the creators of Earthworm Jim and the Neverhood. Unravel the mysteries of the fortress that holds Tommynaut and his blind alien talking dog Beak-Beak captive through exploration and puzzle solving!

Loveable characters designed by Doug TenNapel creator of the Earthworm Jim and developed by creators of The Neverhood, Ed Schofield and Mike Dietz.

Rich cast of voiceover talent brings Armikrog's characters to life, including well-known actors Jon Heder (Napoleon Dynamite), Rob Paulsen (Pinky and the Brain) and Michael J. Nelson (Mystery Science Theater 3000).

Original soundtrack created and recorded by American songwriter and record producer Terry Scott Taylor.","Genre(s): Adventure, General, Point-and-Click"
ARMILLO,"Rolling Platforming Game. Sci-fi parallel Universe theme. Massive amount of gameplay elements.

Armillo is a unique, fun rolling platforming game with a sci-fi parallel universe theme. It features a massive amount of gameplay elements. For one, there is the regular 3D world, followed by a bonus stage on the moon. Then there is the evil parallel universe, and special 2D speed-run inspired worlds. Lots of unexpected deadly twists, and surprises await! The star of the game features a space armadillo named Armillo. He's not your usual armadillo as he's capable of blasting off to space in order to travel from planet to planet. He's joined by his little blue critter friends and his brother. What's supposed to be a peaceful galaxy becomes ruined by the invasion of the robotic Darkbots. Where are they from? Why are they here? But one thing is for sure, they certainly are not the friendly type.","Genre(s): Action, Platformer, Platformer, 3D, 3D"
ARMORED ACORNS: ACTION SQUIRREL SQUAD,"1-4 player couch co-op beat 'em up action! Armor Up! It's about to get nutty!

Armored ACORNs: Action Squirrel Squad brings back classic beat 'em up action to the Wii U! Play as four squirrels fully equipped with some newly discovered robots in a wild adventure to save their friends from an evil cat CEO!

Arcade-Style Beat 'Em Up Action Play as squirrels, robots, vehicles, and more through retro-inspired fun! And don't forget to launch your Armored Mode a special super ability for each squirrel when the moments get tough!

1-4 Player Local Couch Co-op Multiplayer Team up with up to 4 players on screen and use the unique repair ability to save your friends in the action!

An Epic Story of Four Friends Including comic-style cut scenes and quirky dialogue to introduce the heroes Flapjack, Foxglove, Nitelite, and Pothole as they fight their way through caves, forests, cities, and more!

Exclusive Wii U GamePad Experience - Scan your enemies and other objects for helpful hints along the way!

Armor Up! It's about to get nutty!","Genre(s): Action, Beat-'Em-Up, 2D"
ARROW TIME U,"It's time... arrow time! ...Wait, what?

Arrow Time U has you take control of none other than a neon blue arrow. With limited time, health, and special powers, it's your job to point your arrow in the right direction... and take it there as well! Your unique movement mechanisms and abilities to slow down time and move through any object will certainly help, but you'll need both quick thinking and quick reactions to overcome all the obstacles and foes in your way in this top-down 2D game.","Genre(s): Puzzle, Action"
ART ACADEMY: HOME STUDIO,Also known as Art Academy: Atelier.,"Genre(s): Miscellaneous, Edutainment"
ART ACADEMY: SKETCHPAD,"Art Academy: SketchPad is a robust art application that anyone can enjoy - from beginners to experts of all ages. Unleash your creativity using realistic stylus and touch screen-based controls. The tools at your disposal allow for an amazing level of detail. The huge variety of pencils, colored pencils, and pastels behave just like the real thing - with additional tools to further enhance your experience.

Use a pre-loaded image as a subject, or anything else you wish to create works of art to your hearts content. When youre done, you can instantly share your creation by posting directly to Miiverse!","Genre(s): Miscellaneous, General, General, Application"
ART OF BALANCE,"Grab your stylus and build a balanced stack in this physics-based puzzler!

Puzzle games must be addictive. This was our top priority during the development of the game. That's why we designed 200 levels that not only challenge your skills but also your imagination. With its perfect touch controls Art of Balance TOUCH! is easy to pick up and hard to put away.

Seeking a real challenge? Then try out the new endurance mode and drive your score ever higher.

Art of Balance TOUCH! brings the ultimate just one more puzzle experience to your Nintendo 3DS.

Master 200 levels
Discover 8 unique worlds
Play with your Stylus or with the SlidePad","Genre(s): Puzzle, General"
ASCENT OF KINGS,"The death of a King. An epic challenge to choose a new ruler. Will the youngest of four brothers turn out to be the strongest? Will a boy become King? The answer is up to you.

-Classic adventure-platformer gameplay.
-Explore and encounter strange creatures - some harmless, some not.
-Navigate dangerous passages and evade deadly traps.
-Seek out elemental shrines and receive upgraded abilities.","Genre(s): Action, Platformer, 2D"
ASDIVINE HEARTS,"Travel alongside four companions and a cat in a fantasy RPG featuring stunning animated turn-based battles!

One year ago, the world of Asdivine was enveloped by a brilliant flash of light. Since that time, the influence of shadow has only continued to grow ever more powerful across the face of the land. Although the event itself was undoubtedly connected with the heavens, few people seem to have realized the far-reaching implications of what transpired. Now turning to the present, a surprising revelation awaits a young man by the name of Zack and his childhood friend, Stella, in the capital from a chubby cat claiming to be none other than the Light Deity and declaring the world to be on the verge of destruction...

Asdivine Hearts boasts of groundbreaking visual quality, plenty of subquests, a battle arena, treasure to dig for, and an enemy guide to complete. By taking puzzle piece-like jewels and setting them in a box known as a rubix, players are able to customize characters! How far can you level and how many millions of damage can you dish out? All these challenges await you and more!","Genre(s): Role-Playing, General, Japanese-Style"
ASSASSIN'S CREED III,"The Colonies, 1775: A brave your warrior fights to save his homeland. But what begins as a struggle over territory turns into a journey that will transform him into a Master Assassin - one that will forever change the destiny of a newborn nation. Assume the role of Connor, warrior son of a Native American mother and British father. As the colonies draw closer to revolution, you will dedicate your life to the freedom of your clan, becoming the spark that ignites the revolution into a full blaze. Your crusade will lead you through blood-soaked battlefields and crowded city streets, to the perilous wilderness and stormy seas. Always know where your enemies are with a larger, more expansive overhead map at your fingertips. Easily change your weapons on the fly to vary your combos without ever stopping the action on-screen.","Genre(s): Action Adventure, Historic, Historic, Open-World"
ASSASSIN'S CREED III: THE BATTLE HARDENED PACK,"Battle Hardened Pack extends the Assassin's Creed III multiplayer experience with three new playable characters and maps, plus awesome bonus customization items, achievements and trophies! Become the influential Governor, the resilient Highlander or the fearsome Coyote Man. Journey through Charlestown, Fort St-Mathieu, and the scenic but dangerous Saint Pierre . Rally your troops, discover your power in numbers and ignite the revolution!","Genre(s): Action Adventure, Historic, Historic, Open-World"
ASSASSIN'S CREED III: THE HIDDEN SECRETS PACK,"The Hidden Secrets Pack for Assassin's Creed III adds three extra missions - the Lost Mayan Ruins, the Ghost of War, and a Dangerous Secret - for an additional hour of gameplay, taking gamers from lost Mayan ruins to the high seas. Every successful mission is rewarded with in-game weapons.","Genre(s): Action Adventure, Historic, Historic, Open-World"
ASSASSIN'S CREED IV: BLACK FLAG,"Assassin's Creed IV: Black Flag is a free-roaming action-adventure game for the PS3, PC, Xbox 360, and WiiU. It is rumored that the game's protagonist will be privateer Edward Kenway, grandfather of Assassin's Creed III star Connor, and will be set in the Caribbean, with players reportedly able to travel to multiple islands including Jamaica, Cuba, and the Bahamas.","Genre(s): Action Adventure, Historic, Historic, Open-World"
ASTEROID QUARRY,"Mine Asteroids Avoid Pirates

Earth has exhausted its resources.

Now equipped with advanced light speed enabled crafts, mankind can use the resources of the cosmos to expand further.

Take to the heavens and mine the ore in the asteroids. This may seem like a simple task, however, you need to be wary. As with all new frontiers there are ones who take advantage of unprotected areas. These pirates are in all areas and they are looking for the thrill of the hunt and you as the prey.","Genre(s): Action, General, Shooter, Shoot-'Em-Up, Top-Down"
ASTRAL BREAKERS,"Sphere Smashing, Combo Crashing, One or Two Player Puzzle Battle!

Blast off for the cosmos with the fast-paced whimsical competitive / cooperative sphere-smashing, combo-crashing action drop puzzle game, Astral Breakers! The Zodiac Constellations have gone berserk, and the cantankerous, star-castic Kira the Star recruits you to help save the universe.

-Clash for the cosmos with a friend in a competitive Versus mode.
-Team up in the cooperative SuperNova mode.
-Play solo in Story Mode against a challenging AI.
-Use the Wii U GamePad to create your own custom Zodiac Sign.

Balanced with eSports in mind, but finished with a casual touch.

""Something about ASTRAL BREAKERS caught my eye..."" - Indie Game Magazine

""Easy to pick up and play, but will also offer lots of depth for anyone who wants to dig deeper."" - Pixelkin

""Amazing puzzle game."" - Justin Wong, Pro Fighting Game Player","Genre(s): Action, Puzzle, General, Stacking"
AVA AND AVIOR SAVE THE EARTH,"Recyle & Save the Earth! Save the Earth with Ava and Avior Adventure, Education & Fun!

Go green and save the Earth. Ava and ""Avior"" from Planet ""Avior"" are on a mission to Earth to educate everyone on how to save the earth by recycling. The Journey starts in the Country side & moves all the way to Suburbia & Mountain ranges and ends at a surprise location. Very educational with tons of fun!","Genre(s): Miscellaneous, Edutainment"
AVOIDER,"Ready for a challenge? Your goal in AVOIDER is to travel through the galaxy without taking any damage by enemy ships. Use the WiiU's GamePad touch screen to navigate, and then post your high score on Miiverse for all to see.","Genre(s): Action, Arcade"
AXIOM VERGE,"Plumb the recesses of a large, labyrinthine world in order to learn its secrets and uncover your role within it. Discover tons of weapons, items, and abilities, each with their own unique behaviors and usage. You'll need your wits to find them all. Combat bizarre biomechanoid constructs, the deadly fallout of an ancient war, and the demons of your own psyche. And finally, break the game itself by using glitches to corrupt foes and solve puzzles in the environment. [Nintendo.com]","Genre(s): Action, Action Adventure, General, Platformer, , Metroidvania"
AZURE SNAKE,Azure Snake is a beautiful snake in the world of light.,"Genre(s): Action, General"
B3 GAME EXPO FOR BEES,"Save B3!

It's just hours before the start of B3, the annual Game Expo for Bees. You are the brand new Security Bee at the Convention Hive. During your night shift, you were unable to pull yourself away from reading all the pre-B3 hype on B.Chat.

Consequently you completely neglected your patrolling before accidentally drifting off to sleep in the Security Pod. Your adventure begins here.

When all honey breaks loose... will you be able to save B3?

B3 is a single player FPS adventure with an emphasis on exploration, puzzle, and story.","Genre(s): Action, Shooter, First-Person, Arcade"
